id,income,age,experience_years,is_married,city,region,current_job_years,current_house_years,house_ownership,car_ownership,profession,label
train_92592,0.0404059090088239,0.2758620689655172,0.7000000000000001,1,34,25,0.4285714285714285,0.25,2,0,32,0
train_63056,0.2723500815045365,0.2413793103448275,0.5,1,223,7,0.2857142857142857,1.0,2,0,50,0
train_127830,0.0945078235145492,0.1206896551724137,0.4,1,234,0,0.5714285714285714,0.75,2,1,10,0
train_142915,0.8643857408904516,0.7586206896551724,0.45,1,184,10,0.6428571428571428,0.75,1,0,48,0
train_112153,0.2383726401023141,0.4310344827586207,0.75,1,293,22,0.3571428571428571,0.25,2,1,44,0
train_49463,0.1891931311155931,0.9827586206896552,0.3,1,195,13,0.4285714285714285,0.25,2,1,46,1
train_128384,0.8975450337089629,0.396551724137931,0.65,1,10,26,0.9285714285714284,0.0,2,1,26,0
train_31182,0.8378468147162237,0.2068965517241379,0.15,1,222,22,0.2142857142857142,0.25,2,0,33,0
train_48240,0.3175308429903495,0.9310344827586208,0.75,1,291,22,0.5,0.75,2,0,29,0
train_79333,0.3046959306192383,0.0344827586206896,0.05,1,226,14,0.0714285714285714,0.75,2,1,49,0
train_48639,0.4990076707561082,0.8103448275862069,0.45,1,7,14,0.6428571428571428,0.25,2,0,24,0
train_27350,0.3452665104246123,0.5517241379310345,0.4,1,119,11,0.3571428571428571,0.5,2,1,22,0
train_45547,0.1503299221953009,0.8448275862068966,0.35,1,261,2,0.5,1.0,2,0,31,0
train_116084,0.1991087155597786,0.603448275862069,0.05,1,64,25,0.0714285714285714,0.0,2,0,27,0
train_68756,0.3436448284160331,0.6206896551724137,0.2,1,241,4,0.2857142857142857,0.25,2,1,22,0
train_135587,0.1653240741296873,0.603448275862069,0.65,1,258,17,0.9285714285714284,1.0,2,0,47,0
train_111923,0.2157916190672966,0.6379310344827587,0.7000000000000001,1,268,11,0.4285714285714285,0.75,1,0,44,0
train_136573,0.7853366511745983,0.7068965517241379,0.65,1,263,13,0.6428571428571428,0.25,2,0,11,0
train_57458,0.3665424778580343,0.9827586206896552,0.9,1,13,7,0.8571428571428571,0.5,2,0,23,0
train_104125,0.3304851792278951,0.4310344827586207,0.95,1,69,2,0.4285714285714285,0.5,2,0,33,0
train_96119,0.7475207284995998,0.2241379310344827,0.15,1,260,14,0.2142857142857142,0.5,2,1,4,0
train_61541,0.1290864885058783,0.0,0.05,1,313,0,0.0714285714285714,0.0,2,1,30,0
train_3534,0.0658220706516799,0.6379310344827587,0.5,1,93,7,0.5714285714285714,0.5,2,0,12,0
train_84463,0.2248833490095927,0.9655172413793104,0.2,1,4,14,0.2857142857142857,1.0,2,1,9,0
train_121112,0.705022048869087,0.6896551724137931,0.0,1,306,28,0.0,0.5,0,0,46,0
train_115433,0.951356346802904,0.9310344827586208,0.45,0,255,25,0.6428571428571428,0.25,2,0,33,0
train_1649,0.6839770209661461,0.2758620689655172,0.45,1,208,0,0.2142857142857142,0.25,1,1,41,0
train_70700,0.8484936576216852,0.2758620689655172,0.65,1,21,0,0.7857142857142857,0.5,2,0,42,0
train_15077,0.1771642547650423,0.2241379310344827,0.1,1,96,25,0.1428571428571428,0.75,2,0,42,0
train_2858,0.1420777630558415,0.896551724137931,0.3,1,177,28,0.4285714285714285,1.0,2,1,12,0
train_78517,0.7690520607974591,0.7241379310344829,0.5,1,263,13,0.7142857142857142,0.25,2,1,30,0
train_49282,0.8673969641311968,0.7586206896551724,1.0,1,121,28,0.9285714285714284,0.75,2,0,36,0
train_101164,0.4525477825600713,0.3448275862068965,0.3,1,307,25,0.4285714285714285,0.75,2,0,32,0
train_100258,0.3422999334910169,0.9655172413793104,0.45,1,233,18,0.2142857142857142,0.0,2,0,2,0
train_3656,0.7509032368372476,0.5517241379310345,0.2,1,17,19,0.2857142857142857,0.25,2,0,17,0
train_137847,0.4425915559618436,0.6724137931034484,0.95,1,76,2,0.4285714285714285,1.0,2,0,26,0
